instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
30,2011-01-30,Spring,2011,1,Non Holiday,Sunday,Non-Working Day,Clear,21,25,72,7,140,956,1096
31,2011-01-31,Spring,2011,1,Non Holiday,Monday,Working Day,Mist,18,18,60,18,42,1459,1501
32,2011-02-01,Spring,2011,2,Non Holiday,Tuesday,Working Day,Mist,19,23,82,5,47,1313,1360
33,2011-02-02,Spring,2011,2,Non Holiday,Wednesday,Working Day,Mist,26,25,77,26,72,1454,1526
34,2011-02-03,Spring,2011,2,Non Holiday,Thursday,Working Day,Clear,18,17,43,27,61,1489,1550
35,2011-02-04,Spring,2011,2,Non Holiday,Friday,Working Day,Mist,21,22,58,12,88,1620,1708
36,2011-02-05,Spring,2011,2,Non Holiday,Saturday,Non-Working Day,Mist,23,24,92,16,100,905,1005
37,2011-02-06,Spring,2011,2,Non Holiday,Sunday,Non-Working Day,Clear,28,29,56,14,354,1269,1623
38,2011-02-07,Spring,2011,2,Non Holiday,Monday,Working Day,Clear,27,30,73,4,120,1592,1712
39,2011-02-08,Spring,2011,2,Non Holiday,Tuesday,Working Day,Clear,22,19,53,36,64,1466,1530
40,2011-02-09,Spring,2011,2,Non Holiday,Wednesday,Working Day,Mist,13,14,49,18,53,1552,1605
41,2011-02-10,Spring,2011,2,Non Holiday,Thursday,Working Day,Clear,14,14,43,22,47,1491,1538
42,2011-02-11,Spring,2011,2,Non Holiday,Friday,Working Day,Clear,18,21,50,10,149,1597,1746
43,2011-02-12,Spring,2011,2,Non Holiday,Saturday,Non-Working Day,Clear,22,23,54,20,288,1184,1472
44,2011-02-13,Spring,2011,2,Non Holiday,Sunday,Non-Working Day,Clear,31,32,45,26,397,1192,1589
45,2011-02-14,Spring,2011,2,Non Holiday,Monday,Working Day,Clear,41,39,37,41,208,1705,1913
46,2011-02-15,Spring,2011,2,Non Holiday,Tuesday,Working Day,Clear,26,25,31,29,140,1675,1815
47,2011-02-16,Spring,2011,2,Non Holiday,Wednesday,Working Day,Clear,31,31,42,25,218,1897,2115
48,2011-02-17,Spring,2011,2,Non Holiday,Thursday,Working Day,Clear,43,42,50,23,259,2216,2475
49,2011-02-18,Spring,2011,2,Non Holiday,Friday,Working Day,Clear,52,51,51,26,579,2348,2927
50,2011-02-19,Spring,2011,2,Non Holiday,Saturday,Non-Working Day,Clear,39,39,18,50,532,1103,1635
51,2011-02-20,Spring,2011,2,Non Holiday,Sunday,Non-Working Day,Clear,28,27,40,22,639,1173,1812
52,2011-02-21,Spring,2011,2,Holiday,Monday,Non-Working Day,Mist,30,28,60,30,195,912,1107
53,2011-02-22,Spring,2011,2,Non Holiday,Tuesday,Working Day,Clear,18,18,57,19,74,1376,1450
54,2011-02-23,Spring,2011,2,Non Holiday,Wednesday,Working Day,Clear,22,24,42,9,139,1778,1917
55,2011-02-24,Spring,2011,2,Non Holiday,Thursday,Working Day,Mist,29,28,69,25,100,1707,1807
56,2011-02-25,Spring,2011,2,Non Holiday,Friday,Working Day,Mist,36,35,71,34,120,1341,1461
57,2011-02-26,Spring,2011,2,Non Holiday,Saturday,Non-Working Day,Clear,28,28,53,18,424,1545,1969
58,2011-02-27,Spring,2011,2,Non Holiday,Sunday,Non-Working Day,Clear,34,35,68,12,694,1708,2402
59,2011-02-28,Spring,2011,2,Non Holiday,Monday,Working Day,Mist,40,40,87,28,81,1365,1446
60,2011-03-01,Spring,2011,3,Non Holiday,Tuesday,Working Day,Clear,26,26,53,21,137,1714,1851
61,2011-03-02,Spring,2011,3,Non Holiday,Wednesday,Working Day,Clear,33,32,44,30,231,1903,2134
62,2011-03-03,Spring,2011,3,Non Holiday,Thursday,Working Day,Clear,19,20,31,22,123,1562,1685
63,2011-03-04,Spring,2011,3,Non Holiday,Friday,Working Day,Mist,26,25,61,20,214,1730,1944
64,2011-03-05,Spring,2011,3,Non Holiday,Saturday,Non-Working Day,Mist,38,37,78,25,640,1437,2077
65,2011-03-06,Spring,2011,3,Non Holiday,Sunday,Non-Working Day,Mist,37,36,94,34,114,491,605
66,2011-03-07,Spring,2011,3,Non Holiday,Monday,Working Day,Clear,26,23,55,34,244,1628,1872
67,2011-03-08,Spring,2011,3,Non Holiday,Tuesday,Working Day,Clear,29,30,42,12,316,1817,2133
68,2011-03-09,Spring,2011,3,Non Holiday,Wednesday,Working Day,Mist,29,28,77,22,191,1700,1891
69,2011-03-10,Spring,2011,3,Non Holiday,Thursday,Working Day,Light Precipitation,38,38,0,26,46,577,623
70,2011-03-11,Spring,2011,3,Non Holiday,Friday,Working Day,Mist,31,30,64,23,247,1730,1977
71,2011-03-12,Spring,2011,3,Non Holiday,Saturday,Non-Working Day,Clear,32,32,59,22,724,1408,2132
72,2011-03-13,Spring,2011,3,Non Holiday,Sunday,Non-Working Day,Clear,38,38,52,27,982,1435,2417
73,2011-03-14,Spring,2011,3,Non Holiday,Monday,Working Day,Clear,32,33,49,13,359,1687,2046
74,2011-03-15,Spring,2011,3,Non Holiday,Tuesday,Working Day,Mist,31,31,65,18,289,1767,2056
75,2011-03-16,Spring,2011,3,Non Holiday,Wednesday,Working Day,Mist,36,36,77,20,321,1871,2192
76,2011-03-17,Spring,2011,3,Non Holiday,Thursday,Working Day,Clear,41,41,60,20,424,2320,2744
77,2011-03-18,Spring,2011,3,Non Holiday,Friday,Working Day,Clear,54,52,52,23,884,2355,3239
78,2011-03-19,Spring,2011,3,Non Holiday,Saturday,Non-Working Day,Clear,47,46,37,36,1424,1693,3117
79,2011-03-20,Spring,2011,3,Non Holiday,Sunday,Non-Working Day,Clear,33,32,47,20,1047,1424,2471
80,2011-03-21,Summer,2011,3,Non Holiday,Monday,Working Day,Mist,43,40,73,28,401,1676,2077
81,2011-03-22,Summer,2011,3,Non Holiday,Tuesday,Working Day,Clear,44,44,62,22,460,2243,2703
82,2011-03-23,Summer,2011,3,Non Holiday,Wednesday,Working Day,Mist,34,33,83,23,203,1918,2121
83,2011-03-24,Summer,2011,3,Non Holiday,Thursday,Working Day,Mist,28,27,80,24,166,1699,1865
84,2011-03-25,Summer,2011,3,Non Holiday,Friday,Working Day,Clear,26,25,49,23,300,1910,2210
85,2011-03-26,Summer,2011,3,Non Holiday,Saturday,Non-Working Day,Clear,26,25,39,20,981,1515,2496
86,2011-03-27,Summer,2011,3,Non Holiday,Sunday,Non-Working Day,Mist,25,25,49,18,472,1221,1693
87,2011-03-28,Summer,2011,3,Non Holiday,Monday,Working Day,Clear,26,25,30,21,222,1806,2028
88,2011-03-29,Summer,2011,3,Non Holiday,Tuesday,Working Day,Clear,30,29,31,22,317,2108,2425
89,2011-03-30,Summer,2011,3,Non Holiday,Wednesday,Working Day,Mist,30,29,64,17,168,1368,1536
90,2011-03-31,Summer,2011,3,Non Holiday,Thursday,Working Day,Light Precipitation,26,25,91,21,179,1506,1685
91,2011-04-01,Summer,2011,4,Non Holiday,Friday,Working Day,Mist,30,28,68,25,307,1920,2227
92,2011-04-02,Summer,2011,4,Non Holiday,Saturday,Non-Working Day,Mist,31,31,65,19,898,1354,2252
93,2011-04-03,Summer,2011,4,Non Holiday,Sunday,Non-Working Day,Clear,37,37,48,18,1651,1598,3249
94,2011-04-04,Summer,2011,4,Non Holiday,Monday,Working Day,Clear,57,54,42,38,734,2381,3115
95,2011-04-05,Summer,2011,4,Non Holiday,Tuesday,Working Day,Mist,41,39,64,38,167,1628,1795
96,2011-04-06,Summer,2011,4,Non Holiday,Wednesday,Working Day,Clear,39,38,47,26,413,2395,2808
97,2011-04-07,Summer,2011,4,Non Holiday,Thursday,Working Day,Clear,43,43,60,16,571,2570,3141
98,2011-04-08,Summer,2011,4,Non Holiday,Friday,Working Day,Mist,33,32,83,22,172,1299,1471
99,2011-04-09,Summer,2011,4,Non Holiday,Saturday,Non-Working Day,Mist,34,34,87,13,879,1576,2455
100,2011-04-10,Summer,2011,4,Non Holiday,Sunday,Non-Working Day,Mist,42,42,85,14,1188,1707,2895
101,2011-04-11,Summer,2011,4,Non Holiday,Monday,Working Day,Mist,59,56,71,32,855,2493,3348
102,2011-04-12,Summer,2011,4,Non Holiday,Tuesday,Working Day,Mist,50,49,73,27,257,1777,2034
103,2011-04-13,Summer,2011,4,Non Holiday,Wednesday,Working Day,Mist,41,41,81,25,209,1953,2162
104,2011-04-14,Summer,2011,4,Non Holiday,Thursday,Working Day,Clear,46,46,54,11,529,2738,3267
105,2011-04-15,Summer,2011,4,Holiday,Friday,Non-Working Day,Clear,44,44,67,22,642,2484,3126
106,2011-04-16,Summer,2011,4,Non Holiday,Saturday,Non-Working Day,Light Precipitation,43,42,88,34,121,674,795
107,2011-04-17,Summer,2011,4,Non Holiday,Sunday,Non-Working Day,Clear,45,44,47,30,1558,2186,3744
108,2011-04-18,Summer,2011,4,Non Holiday,Monday,Working Day,Clear,51,50,54,16,669,2760,3429
109,2011-04-19,Summer,2011,4,Non Holiday,Tuesday,Working Day,Mist,50,48,66,15,409,2795,3204
110,2011-04-20,Summer,2011,4,Non Holiday,Wednesday,Working Day,Clear,59,56,61,24,613,3331,3944
111,2011-04-21,Summer,2011,4,Non Holiday,Thursday,Working Day,Clear,45,45,40,32,745,3444,4189
112,2011-04-22,Summer,2011,4,Non Holiday,Friday,Working Day,Mist,33,32,72,21,177,1506,1683
113,2011-04-23,Summer,2011,4,Non Holiday,Saturday,Non-Working Day,Mist,46,45,88,23,1462,2574,4036
114,2011-04-24,Summer,2011,4,Non Holiday,Sunday,Non-Working Day,Mist,58,55,81,19,1710,2481,4191
115,2011-04-25,Summer,2011,4,Non Holiday,Monday,Working Day,Clear,60,57,77,18,773,3300,4073
116,2011-04-26,Summer,2011,4,Non Holiday,Tuesday,Working Day,Clear,63,59,72,32,678,3722,4400
117,2011-04-27,Summer,2011,4,Non Holiday,Wednesday,Working Day,Mist,62,57,83,31,547,3325,3872
118,2011-04-28,Summer,2011,4,Non Holiday,Thursday,Working Day,Mist,61,57,70,32,569,3489,4058
119,2011-04-29,Summer,2011,4,Non Holiday,Friday,Working Day,Clear,51,49,45,24,878,3717,4595
120,2011-04-30,Summer,2011,4,Non Holiday,Saturday,Non-Working Day,Clear,47,46,50,23,1965,3347,5312
121,2011-05-01,Summer,2011,5,Non Holiday,Sunday,Non-Working Day,Mist,45,44,76,10,1138,2213,3351
122,2011-05-02,Summer,2011,5,Non Holiday,Monday,Working Day,Mist,54,53,73,18,847,3554,4401
123,2011-05-03,Summer,2011,5,Non Holiday,Tuesday,Working Day,Mist,61,58,69,34,603,3848,4451
124,2011-05-04,Summer,2011,5,Non Holiday,Wednesday,Working Day,Mist,41,40,73,32,255,2378,2633
125,2011-05-05,Summer,2011,5,Non Holiday,Thursday,Working Day,Clear,45,44,44,29,614,3819,4433
126,2011-05-06,Summer,2011,5,Non Holiday,Friday,Working Day,Clear,47,47,59,22,894,3714,4608
127,2011-05-07,Summer,2011,5,Non Holiday,Saturday,Non-Working Day,Clear,52,51,54,16,1612,3102,4714
128,2011-05-08,Summer,2011,5,Non Holiday,Sunday,Non-Working Day,Clear,52,51,63,7,1401,2932,4333
129,2011-05-09,Summer,2011,5,Non Holiday,Monday,Working Day,Clear,53,52,58,17,664,3698,4362
130,2011-05-10,Summer,2011,5,Non Holiday,Tuesday,Working Day,Clear,53,52,48,11,694,4109,4803
131,2011-05-11,Summer,2011,5,Non Holiday,Wednesday,Working Day,Clear,54,52,63,12,550,3632,4182
132,2011-05-12,Summer,2011,5,Non Holiday,Thursday,Working Day,Clear,53,52,74,18,695,4169,4864
133,2011-05-13,Summer,2011,5,Non Holiday,Friday,Working Day,Mist,51,49,86,17,692,3413,4105
134,2011-05-14,Summer,2011,5,Non Holiday,Saturday,Non-Working Day,Mist,52,50,92,13,902,2507,3409
135,2011-05-15,Summer,2011,5,Non Holiday,Sunday,Non-Working Day,Mist,56,53,86,15,1582,2971,4553
136,2011-05-16,Summer,2011,5,Non Holiday,Monday,Working Day,Clear,57,55,78,12,773,3185,3958
137,2011-05-17,Summer,2011,5,Non Holiday,Tuesday,Working Day,Mist,56,53,83,27,678,3445,4123
138,2011-05-18,Summer,2011,5,Non Holiday,Wednesday,Working Day,Mist,55,52,87,20,536,3319,3855
139,2011-05-19,Summer,2011,5,Non Holiday,Thursday,Working Day,Mist,53,51,82,10,735,3840,4575
140,2011-05-20,Summer,2011,5,Non Holiday,Friday,Working Day,Clear,53,52,71,12,909,4008,4917
141,2011-05-21,Summer,2011,5,Non Holiday,Saturday,Non-Working Day,Clear,60,57,62,12,2258,3547,5805
142,2011-05-22,Summer,2011,5,Non Holiday,Sunday,Non-Working Day,Clear,60,57,74,14,1576,3084,4660
143,2011-05-23,Summer,2011,5,Non Holiday,Monday,Working Day,Mist,63,59,81,23,836,3438,4274
144,2011-05-24,Summer,2011,5,Non Holiday,Tuesday,Working Day,Mist,66,60,74,20,659,3833,4492
145,2011-05-25,Summer,2011,5,Non Holiday,Wednesday,Working Day,Clear,66,61,69,15,740,4238,4978
146,2011-05-26,Summer,2011,5,Non Holiday,Thursday,Working Day,Clear,70,65,67,19,758,3919,4677
147,2011-05-27,Summer,2011,5,Non Holiday,Friday,Working Day,Clear,68,63,65,24,871,3808,4679
148,2011-05-28,Summer,2011,5,Non Holiday,Saturday,Non-Working Day,Clear,65,61,72,23,2001,2757,4758
149,2011-05-29,Summer,2011,5,Non Holiday,Sunday,Non-Working Day,Clear,66,61,81,21,2355,2433,4788
150,2011-05-30,Summer,2011,5,Holiday,Monday,Non-Working Day,Clear,73,67,68,13,1549,2549,4098
151,2011-05-31,Summer,2011,5,Non Holiday,Tuesday,Working Day,Clear,77,72,63,11,673,3309,3982
152,2011-06-01,Summer,2011,6,Non Holiday,Wednesday,Working Day,Mist,76,72,67,20,513,3461,3974
153,2011-06-02,Summer,2011,6,Non Holiday,Thursday,Working Day,Clear,71,64,30,29,736,4232,4968
154,2011-06-03,Summer,2011,6,Non Holiday,Friday,Working Day,Clear,62,58,35,25,898,4414,5312
155,2011-06-04,Summer,2011,6,Non Holiday,Saturday,Non-Working Day,Clear,63,59,45,12,1869,3473,5342
156,2011-06-05,Summer,2011,6,Non Holiday,Sunday,Non-Working Day,Mist,64,61,65,13,1685,3221,4906
157,2011-06-06,Summer,2011,6,Non Holiday,Monday,Working Day,Clear,67,62,60,12,673,3875,4548
158,2011-06-07,Summer,2011,6,Non Holiday,Tuesday,Working Day,Clear,70,65,59,18,763,4070,4833
159,2011-06-08,Summer,2011,6,Non Holiday,Wednesday,Working Day,Clear,77,72,62,13,676,3725,4401
160,2011-06-09,Summer,2011,6,Non Holiday,Thursday,Working Day,Mist,80,75,56,14,563,3352,3915
161,2011-06-10,Summer,2011,6,Non Holiday,Friday,Working Day,Clear,75,70,60,14,815,3771,4586
162,2011-06-11,Summer,2011,6,Non Holiday,Saturday,Non-Working Day,Clear,72,67,65,15,1729,3237,4966
163,2011-06-12,Summer,2011,6,Non Holiday,Sunday,Non-Working Day,Clear,69,64,74,16,1467,2993,4460
164,2011-06-13,Summer,2011,6,Non Holiday,Monday,Working Day,Clear,63,60,49,30,863,4157,5020
165,2011-06-14,Summer,2011,6,Non Holiday,Tuesday,Working Day,Clear,60,59,50,26,727,4164,4891
166,2011-06-15,Summer,2011,6,Non Holiday,Wednesday,Working Day,Clear,62,58,47,16,769,4411,5180
167,2011-06-16,Summer,2011,6,Non Holiday,Thursday,Working Day,Mist,62,59,68,20,545,3222,3767
168,2011-06-17,Summer,2011,6,Non Holiday,Friday,Working Day,Clear,64,60,73,14,863,3981,4844
169,2011-06-18,Summer,2011,6,Non Holiday,Saturday,Non-Working Day,Clear,69,64,67,11,1807,3312,5119
170,2011-06-19,Summer,2011,6,Non Holiday,Sunday,Non-Working Day,Mist,69,64,66,10,1639,3105,4744
171,2011-06-20,Summer,2011,6,Non Holiday,Monday,Working Day,Mist,63,59,74,15,699,3311,4010
172,2011-06-21,Fall,2011,6,Non Holiday,Tuesday,Working Day,Mist,68,63,77,17,774,4061,4835
173,2011-06-22,Fall,2011,6,Non Holiday,Wednesday,Working Day,Clear,73,69,70,17,661,3846,4507
174,2011-06-23,Fall,2011,6,Non Holiday,Thursday,Working Day,Mist,72,69,70,23,746,4044,4790
175,2011-06-24,Fall,2011,6,Non Holiday,Friday,Working Day,Clear,72,65,57,22,969,4022,4991
176,2011-06-25,Fall,2011,6,Non Holiday,Saturday,Non-Working Day,Clear,69,64,48,20,1782,3420,5202
177,2011-06-26,Fall,2011,6,Non Holiday,Sunday,Non-Working Day,Clear,68,63,51,9,1920,3385,5305
178,2011-06-27,Fall,2011,6,Non Holiday,Monday,Working Day,Mist,68,63,65,10,854,3854,4708
179,2011-06-28,Fall,2011,6,Non Holiday,Tuesday,Working Day,Clear,74,69,63,14,732,3916,4648
180,2011-06-29,Fall,2011,6,Non Holiday,Wednesday,Working Day,Clear,72,65,49,26,848,4377,5225
181,2011-06-30,Fall,2011,6,Non Holiday,Thursday,Working Day,Clear,69,63,43,18,1027,4488,5515
182,2011-07-01,Fall,2011,7,Non Holiday,Friday,Working Day,Clear,72,65,39,10,1246,4116,5362
183,2011-07-02,Fall,2011,7,Non Holiday,Saturday,Non-Working Day,Clear,73,66,44,11,2204,2915,5119
184,2011-07-03,Fall,2011,7,Non Holiday,Sunday,Non-Working Day,Mist,71,66,68,22,2282,2367,4649
185,2011-07-04,Fall,2011,7,Holiday,Monday,Non-Working Day,Mist,72,66,63,8,3065,2978,6043
186,2011-07-05,Fall,2011,7,Non Holiday,Tuesday,Working Day,Clear,74,69,59,12,1031,3634,4665
187,2011-07-06,Fall,2011,7,Non Holiday,Wednesday,Working Day,Clear,72,68,74,14,784,3845,4629
188,2011-07-07,Fall,2011,7,Non Holiday,Thursday,Working Day,Clear,75,68,65,15,754,3838,4592
189,2011-07-08,Fall,2011,7,Non Holiday,Friday,Working Day,Mist,70,67,75,22,692,3348,4040
190,2011-07-09,Fall,2011,7,Non Holiday,Saturday,Non-Working Day,Clear,73,66,60,16,1988,3348,5336
191,2011-07-10,Fall,2011,7,Non Holiday,Sunday,Non-Working Day,Clear,74,69,57,18,1743,3138,4881
192,2011-07-11,Fall,2011,7,Non Holiday,Monday,Working Day,Clear,76,72,63,28,723,3363,4086
193,2011-07-12,Fall,2011,7,Non Holiday,Tuesday,Working Day,Clear,79,73,55,20,662,3596,4258
194,2011-07-13,Fall,2011,7,Non Holiday,Wednesday,Working Day,Clear,74,68,63,14,748,3594,4342
195,2011-07-14,Fall,2011,7,Non Holiday,Thursday,Working Day,Clear,68,63,47,24,888,4196,5084
196,2011-07-15,Fall,2011,7,Non Holiday,Friday,Working Day,Clear,66,62,59,18,1318,4220,5538
197,2011-07-16,Fall,2011,7,Non Holiday,Saturday,Non-Working Day,Clear,68,63,58,20,2418,3505,5923
198,2011-07-17,Fall,2011,7,Non Holiday,Sunday,Non-Working Day,Clear,71,66,60,24,2006,3296,5302
199,2011-07-18,Fall,2011,7,Non Holiday,Monday,Working Day,Clear,74,70,65,21,841,3617,4458
200,2011-07-19,Fall,2011,7,Non Holiday,Tuesday,Working Day,Clear,77,74,65,13,752,3789,4541
201,2011-07-20,Fall,2011,7,Non Holiday,Wednesday,Working Day,Clear,76,74,70,11,644,3688,4332
202,2011-07-21,Fall,2011,7,Non Holiday,Thursday,Working Day,Mist,81,82,69,22,632,3152,3784
203,2011-07-22,Fall,2011,7,Non Holiday,Friday,Working Day,Clear,84,84,58,13,562,2825,3387
204,2011-07-23,Fall,2011,7,Non Holiday,Saturday,Non-Working Day,Clear,84,80,50,13,987,2298,3285
205,2011-07-24,Fall,2011,7,Non Holiday,Sunday,Non-Working Day,Clear,83,79,55,16,1050,2556,3606
206,2011-07-25,Fall,2011,7,Non Holiday,Monday,Working Day,Clear,74,72,75,9,568,3272,3840
207,2011-07-26,Fall,2011,7,Non Holiday,Tuesday,Working Day,Clear,77,69,54,20,750,3840,4590
208,2011-07-27,Fall,2011,7,Non Holiday,Wednesday,Working Day,Clear,77,69,40,18,755,3901,4656
209,2011-07-28,Fall,2011,7,Non Holiday,Thursday,Working Day,Clear,77,73,58,17,606,3784,4390
210,2011-07-29,Fall,2011,7,Non Holiday,Friday,Working Day,Clear,83,78,54,17,670,3176,3846
211,2011-07-30,Fall,2011,7,Non Holiday,Saturday,Non-Working Day,Clear,80,72,46,16,1559,2916,4475
212,2011-07-31,Fall,2011,7,Non Holiday,Sunday,Non-Working Day,Clear,80,72,48,16,1524,2778,4302
213,2011-08-01,Fall,2011,8,Non Holiday,Monday,Working Day,Clear,77,70,55,15,729,3537,4266
214,2011-08-02,Fall,2011,8,Non Holiday,Tuesday,Working Day,Clear,78,70,49,20,801,4044,4845
215,2011-08-03,Fall,2011,8,Non Holiday,Wednesday,Working Day,Mist,73,67,65,13,467,3107,3574
216,2011-08-04,Fall,2011,8,Non Holiday,Thursday,Working Day,Mist,71,66,75,19,799,3777,4576
217,2011-08-05,Fall,2011,8,Non Holiday,Friday,Working Day,Clear,71,65,63,18,1023,3843,4866
218,2011-08-06,Fall,2011,8,Non Holiday,Saturday,Non-Working Day,Mist,71,67,75,22,1521,2773,4294
219,2011-08-07,Fall,2011,8,Non Holiday,Sunday,Non-Working Day,Clear,74,71,75,20,1298,2487,3785
220,2011-08-08,Fall,2011,8,Non Holiday,Monday,Working Day,Clear,76,70,59,19,846,3480,4326
221,2011-08-09,Fall,2011,8,Non Holiday,Tuesday,Working Day,Clear,77,72,57,15,907,3695,4602
222,2011-08-10,Fall,2011,8,Non Holiday,Wednesday,Working Day,Clear,76,68,42,20,884,3896,4780
223,2011-08-11,Fall,2011,8,Non Holiday,Thursday,Working Day,Clear,71,65,42,16,812,3980,4792
224,2011-08-12,Fall,2011,8,Non Holiday,Friday,Working Day,Clear,70,65,41,12,1051,3854,4905
225,2011-08-13,Fall,2011,8,Non Holiday,Saturday,Non-Working Day,Mist,68,64,72,21,1504,2646,4150
226,2011-08-14,Fall,2011,8,Non Holiday,Sunday,Non-Working Day,Mist,67,62,81,22,1338,2482,3820
227,2011-08-15,Fall,2011,8,Non Holiday,Monday,Working Day,Clear,66,61,71,20,775,3563,4338
228,2011-08-16,Fall,2011,8,Non Holiday,Tuesday,Working Day,Clear,70,64,57,23,721,4004,4725
229,2011-08-17,Fall,2011,8,Non Holiday,Wednesday,Working Day,Clear,72,66,57,14,668,4026,4694
230,2011-08-18,Fall,2011,8,Non Holiday,Thursday,Working Day,Clear,71,66,65,23,639,3166,3805
231,2011-08-19,Fall,2011,8,Non Holiday,Friday,Working Day,Mist,68,63,72,13,797,3356,4153
232,2011-08-20,Fall,2011,8,Non Holiday,Saturday,Non-Working Day,Clear,69,64,67,10,1914,3277,5191
233,2011-08-21,Fall,2011,8,Non Holiday,Sunday,Non-Working Day,Clear,71,67,77,24,1249,2624,3873
234,2011-08-22,Fall,2011,8,Non Holiday,Monday,Working Day,Clear,69,63,47,27,833,3925,4758
235,2011-08-23,Fall,2011,8,Non Holiday,Tuesday,Working Day,Clear,64,60,45,14,1281,4614,5895
236,2011-08-24,Fall,2011,8,Non Holiday,Wednesday,Working Day,Clear,67,63,60,25,949,4181,5130
237,2011-08-25,Fall,2011,8,Non Holiday,Thursday,Working Day,Mist,68,64,77,21,435,3107,3542
238,2011-08-26,Fall,2011,8,Non Holiday,Friday,Working Day,Clear,70,65,76,8,768,3893,4661
239,2011-08-27,Fall,2011,8,Non Holiday,Saturday,Non-Working Day,Mist,68,63,85,37,226,889,1115
240,2011-08-28,Fall,2011,8,Non Holiday,Sunday,Non-Working Day,Clear,70,64,56,30,1415,2919,4334
241,2011-08-29,Fall,2011,8,Non Holiday,Monday,Working Day,Clear,63,60,55,15,729,3905,4634
242,2011-08-30,Fall,2011,8,Non Holiday,Tuesday,Working Day,Clear,63,59,54,12,775,4429,5204
243,2011-08-31,Fall,2011,8,Non Holiday,Wednesday,Working Day,Clear,65,61,59,8,688,4370,5058
244,2011-09-01,Fall,2011,9,Non Holiday,Thursday,Working Day,Clear,65,61,63,14,783,4332,5115
245,2011-09-02,Fall,2011,9,Non Holiday,Friday,Working Day,Mist,64,60,72,13,875,3852,4727
246,2011-09-03,Fall,2011,9,Non Holiday,Saturday,Non-Working Day,Clear,66,63,71,18,1935,2549,4484
247,2011-09-04,Fall,2011,9,Non Holiday,Sunday,Non-Working Day,Clear,70,66,74,20,2521,2419,4940
